Issue_ID,Content_ID,Issue_Type,Field,Issue_Description,Severity,Status
QA005-2162,339.txt,Potential Duplicate Title,title,Title appears more than once and requires content review.,Low,Review Required
QA005-2164,341.txt,Potential Duplicate Title,title,Title appears more than once and requires content review.,Low,Review Required
QA005-2165,342.txt,Potential Duplicate Title,title,Title appears more than once and requires content review.,Low,Review Required
QA005-2196,373.txt,Potential Duplicate Title,title,Title appears more than once and requires content review.,Low,Review Required
QA005-2197,374.txt,Potential Duplicate Title,title,Title appears more than once and requires content review.,Low,Review Required
QA005-2199,376.txt,Potential Duplicate Title,title,Title appears more than once and requires content review.,Low,Review Required
QA005-2200,377.txt,Potential Duplicate Title,title,Title appears more than once and requires content review.,Low,Review Required
QA005-2202,379.txt,Potential Duplicate Title,title,Title appears more than once and requires content review.,Low,Review Required
QA005-2203,380.txt,Potential Duplicate Title,title,Title appears more than once and requires content review.,Low,Review Required
QA005-2204,381.txt,Potential Duplicate Title,title,Title appears more than once and requires content review.,Low,Review Required
QA005-2205,382.txt,Potential Duplicate Title,title,Title appears more than once and requires content review.,Low,Review Required
QA005-2210,387.txt,Potential Duplicate Title,title,Title appears more than once and requires content review.,Low,Review Required
QA005-2211,388.txt,Potential Duplicate Title,title,Title appears more than once and requires content review.,Low,Review Required
QA005-2212,389.txt,Potential Duplicate Title,title,Title appears more than once and requires content review.,Low,Review Required
QA005-2214,391.txt,Potential Duplicate Title,title,Title appears more than once and requires content review.,Low,Review Required
QA005-2216,393.txt,Potential Duplicate Title,title,Title appears more than once and requires content review.,Low,Review Required
QA005-2221,398.txt,Potential Duplicate Title,title,Title appears more than once and requires content review.,Low,Review Required
